bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image
Pavo Cristatus,Indian Peafowl,"Brown,Green,White,Black",F,Vulture +,http://en.wikipedia.org/wiki/Indian_Peafowl
Gallus sonneratii,Grey Junglefowl,"Yellow,Black,White,Red,Grey,Brown",M,Hen,http://en.wikipedia.org/wiki/Grey_Junglefowl
Gallus sonneratii,Grey Junglefowl,"Brown,Black,White,Pink",F,Hen,http://en.wikipedia.org/wiki/Grey_Junglefowl
Burhinus oedicnemus,Indian Stone-Curlew (Eurasian Thick-knee),"Brown,White",M/F,Hen -,http://en.wikipedia.org/wiki/Eurasian_Stone-curlew
Himantopus himantopus,Black-winged Stilt,"White,Black,Brown",M/F,Hen -,http://en.wikipedia.org/wiki/Black-winged_Stilt
Glareola lactea,Small Pratincole,"Brown,White",M/F,Myna -,http://en.wikipedia.org/wiki/Small_Pratincole
Vanellus malarbaricus,Yellow-wattled Lapwing,"White,Black,Brown,Yellow",M/F,Pigeon,http://en.wikipedia.org/wiki/Yellow-wattled_Lapwing
Vanellus indicus ,Red-wattled Lapwing,"Brown,White,Black",M/F,Pigeon,http://en.wikipedia.org/wiki/Red-wattled_Lapwing
Charadrius dubius,Little Ringed Plover,"Brown,White,Black,Yellow",M/F,Myna -,http://en.wikipedia.org/wiki/Little_Ringed_Plover
Gallinago gallinago,Common Snipe,"Brown,White",M/F,Myna,http://en.wikipedia.org/wiki/Common_Snipe
Actitis hypoleucos,Common Sandpiper,"White,Brown",M/F,Myna,http://en.wikipedia.org/wiki/Common_Sandpiper
Tringa ochropus,Green Sandpiper,"White,Brown",M/F,Myna,http://en.wikipedia.org/wiki/Green_Sandpiper
Tringa glareola,Wood Sandpiper,"White,Brown,Grey",M/F,Myna,http://en.wikipedia.org/wiki/Wood_Sandpiper
Calidris minuta,Little Stint,"White,Brown,Orange,Grey",M/F,Myna -,http://en.wikipedia.org/wiki/Little_Stint
Gelochelidon nilotica,Gull-billed Tern,"Grey,White",M/F,Kite -,http://en.wikipedia.org/wiki/Gull-billed_Tern
Sterna aurantia,River Tern,"Grey,White,Black",M/F,Kite -,http://en.wikipedia.org/wiki/River_Tern_(bird)
Streptopelia decaocto,Eurasian Collared-dove,"Grey,Brown,Black",M/F,Pigeon,http://en.wikipedia.org/wiki/Eurasian_Collared_Dove
Sterptopelia senegalensis,Laughing Dove,"Pink,Brown,Grey,White",M/F,Pigeon -,http://en.wikipedia.org/wiki/Laughing_Dove
Streptopelia orientalis ,Oriental Turtle-dove,"Brown,Orange,Grey",M/F,Pigeon,http://en.wikipedia.org/wiki/Oriental_Turtle_Dove
Streptopelia tranquebarica,Red Collared-dove,"Pink,Grey,Brown,Black,White",M,Pigeon -,http://en.wikipedia.org/wiki/Red_Turtle_Dove
Streptopelia tranquebarica,Red Collared-dove,"Grey,Brown,Black,White",F,Pigeon -,http://en.wikipedia.org/wiki/Red_Turtle_Dove
Streptopelia chinensis,Spotted Dove,"Pink,Brown,Black,White",M/F,Pigeon,http://en.wikipedia.org/wiki/Spotted_Dove
Columba livia,Rock Pigeon,"Grey,Blue,Black,Pink,Green,White",M/F,Pigeon,http://en.wikipedia.org/wiki/Rock_Dove
